uri,label,lat,lon,type,cluster
http://dbpedia.org/resource/San_Carlo_ai_Catinari,San Carlo ai Catinari,41.89419555664062,12.47525024414062,HistoricBuilding,0
http://dbpedia.org/resource/San_Carlo_al_Corso,San Carlo al Corso,41.90527725219727,12.4777774810791,HistoricBuilding,0
http://dbpedia.org/resource/San_Cesareo_de_Appia,San Cesareo de Appia,41.87867736816406,12.4971170425415,HistoricBuilding,0
http://dbpedia.org/resource/San_Clemente_al_Laterano,San Clemente al Laterano,41.88944625854492,12.4975004196167,HistoricBuilding,3
http://dbpedia.org/resource/San_Corbiniano,San Corbiniano,41.74837875366211,12.37690734863281,HistoricBuilding,3
http://dbpedia.org/resource/San_Cosimato,San Cosimato,41.88669586181641,12.47030639648438,HistoricBuilding,1
"http://dbpedia.org/resource/San_Crisogono,_Rome","San Crisogono, Rome",41.88909912109375,12.47373199462891,HistoricBuilding,0
"http://dbpedia.org/resource/San_Domenico_di_Guzmán,_Rome","San Domenico di Guzmán, Rome",41.98182678222656,12.55911731719971,HistoricBuilding,0
http://dbpedia.org/resource/San_Felice_da_Cantalice_a_Centocelle,San Felice da Cantalice a Centocelle,41.87682342529297,12.56629180908203,HistoricBuilding,4
http://dbpedia.org/resource/San_Filippo_Neri_in_Eurosia,San Filippo Neri in Eurosia,41.86069869995117,12.49279975891113,HistoricBuilding,8
http://dbpedia.org/resource/San_Filippo_Neri_in_Via_Giulia,San Filippo Neri in Via Giulia,41.89716720581055,12.46744441986084,HistoricBuilding,3
http://dbpedia.org/resource/San_Francesco_Saverio_alla_Garbatella,San Francesco Saverio alla Garbatella,41.86190032958984,12.48950004577637,HistoricBuilding,0
http://dbpedia.org/resource/San_Francesco_d'Assisi_ad_Acilia,San Francesco d'Assisi ad Acilia,41.94865417480469,12.35201358795166,HistoricBuilding,3
http://dbpedia.org/resource/San_Francesco_di_Paola_ai_Monti,San Francesco di Paola ai Monti,41.89380645751953,12.49144458770752,HistoricBuilding,10
http://dbpedia.org/resource/San_Frumenzio_ai_Prati_Fiscali,San Frumenzio ai Prati Fiscali,41.94674301147461,12.51755523681641,HistoricBuilding,0
http://dbpedia.org/resource/San_Gabriele_Arcangelo_all'Acqua_Traversa,San Gabriele Arcangelo all'Acqua Traversa,41.95034027099609,12.44344997406006,HistoricBuilding,4
http://dbpedia.org/resource/San_Gabriele_dell'Addolorata,San Gabriele dell'Addolorata,41.863525390625,12.55934143066406,HistoricBuilding,7
"http://dbpedia.org/resource/San_Gerardo_Maiella,_Rome","San Gerardo Maiella, Rome",41.88109970092773,12.5560998916626,HistoricBuilding,8
http://dbpedia.org/resource/San_Giacomo_Scossacavalli,San Giacomo Scossacavalli,41.90236282348633,12.46152782440186,HistoricBuilding,8
http://dbpedia.org/resource/San_Giacomo_in_Augusta,San Giacomo in Augusta,41.90777587890625,12.47722244262695,HistoricBuilding,0
http://dbpedia.org/resource/San_Gioacchino_ai_Prati_di_Castello,San Gioacchino ai Prati di Castello,41.90999984741211,12.46500015258789,HistoricBuilding,0
http://dbpedia.org/resource/San_Giorgio_e_Martiri_Inglesi,San Giorgio e Martiri Inglesi,41.90662002563477,12.48264122009277,HistoricBuilding,0
http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio in Velabro,41.88953018188477,12.48313617706299,HistoricBuilding,0
http://dbpedia.org/resource/San_Giovanni_Battista_Decollato,San Giovanni Battista Decollato,41.88990020751953,12.4818000793457,HistoricBuilding,0
"http://dbpedia.org/resource/San_Giovanni_Battista_de_Rossi,_Rome","San Giovanni Battista de Rossi, Rome",41.8714714050293,12.51910972595215,HistoricBuilding,0
http://dbpedia.org/resource/San_Giovanni_Battista_dei_Cavalieri_di_Rodi,San Giovanni Battista dei Cavalieri di Rodi,41.89483642578125,12.48653030395508,HistoricBuilding,3
http://dbpedia.org/resource/San_Giovanni_Battista_dei_Genovesi,San Giovanni Battista dei Genovesi,41.88809967041016,12.4753999710083,HistoricBuilding,0
http://dbpedia.org/resource/San_Giovanni_Bosco_in_Via_Tuscolana,San Giovanni Bosco in Via Tuscolana,41.85879898071289,12.56560039520264,HistoricBuilding,0
"http://dbpedia.org/resource/San_Giovanni_Calibita,_Rome","San Giovanni Calibita, Rome",41.89086151123047,12.47779655456543,HistoricBuilding,8
http://dbpedia.org/resource/San_Giovanni_Crisostomo_al_Monte_Sacro_Alto,San Giovanni Crisostomo al Monte Sacro Alto,41.94051742553711,12.54289436340332,HistoricBuilding,0
http://dbpedia.org/resource/San_Giovanni_Evangelista_a_Spinaceto,San Giovanni Evangelista a Spinaceto,41.7859001159668,12.44379997253418,HistoricBuilding,4
http://dbpedia.org/resource/San_Giovanni_a_Porta_Latina,San Giovanni a Porta Latina,41.87722396850586,12.50194454193115,HistoricBuilding,9
http://dbpedia.org/resource/San_Giovanni_della_Malva_in_Trastevere,San Giovanni della Malva in Trastevere,41.89209365844727,12.46920394897461,HistoricBuilding,3
"http://dbpedia.org/resource/San_Giovanni_della_Pigna,_Rome","San Giovanni della Pigna, Rome",41.89730072021484,12.47809982299805,HistoricBuilding,0
http://dbpedia.org/resource/San_Girolamo_a_Corviale,San Girolamo a Corviale,41.85260009765625,12.42210006713867,HistoricBuilding,0
http://dbpedia.org/resource/San_Girolamo_dei_Croati,San Girolamo dei Croati,41.90499877929688,12.47570037841797,HistoricBuilding,6
http://dbpedia.org/resource/San_Girolamo_della_Carità,San Girolamo della Carità,41.89530181884766,12.47020435333252,HistoricBuilding,0
http://dbpedia.org/resource/San_Giuda_Taddeo_Apostolo,San Giuda Taddeo Apostolo,41.86783218383789,12.52600002288818,HistoricBuilding,0
http://dbpedia.org/resource/San_Giuliano_Martire,San Giuliano Martire,41.97499847412109,12.42790031433105,HistoricBuilding,3
http://dbpedia.org/resource/San_Giuliano_dei_Fiamminghi,San Giuliano dei Fiamminghi,41.89588928222656,12.47583293914795,HistoricBuilding,7
http://dbpedia.org/resource/San_Giuseppe_al_Trionfale,San Giuseppe al Trionfale,41.91180038452148,12.45170021057129,HistoricBuilding,0
http://dbpedia.org/resource/San_Giuseppe_all'Aurelio,San Giuseppe all'Aurelio,41.90328216552734,12.41286754608154,HistoricBuilding,10
